id,temp,humidity,rainfall,cases,date
1,34,74,,477,2018-07-31
2,34,49,,556,2018-10-21
3,30,47,6,557,2018-08-20
4,29,43,,44,2018-07-05
5,21,61,,225,2018-11-30
6,39,38,6,146,2018-01-02
7,25,50,,257,2018-03-18
8,33,64,1,1,2018-01-11
9,37,69,4,572,2018-08-06
10,40,57,,199,2018-05-03
11,35,72,,371,2018-09-23
12,23,64,,462,2018-05-30
13,32,47,,199,2018-03-06
14,22,60,,,2018-11-17
15,33,53,2,57,2018-07-26
16,33,71,,,2018-01-18
17,30,54,1,589,2018-11-09
18,20,40,5,316,2018-05-29
19,37,60,4,382,2018-01-11
20,36,60,,197,2018-08-22
21,34,65,,300,2018-04-02
22,40,39,6,462,2018-06-13
23,27,68,6,326,2018-09-08
24,33,68,,193,2018-03-13
25,33,62,,296,2018-10-31
26,30,50,5,113,2018-10-02
27,24,70,5,98,2018-05-01
28,40,48,,211,2018-04-29
29,34,67,,519,2018-10-16
30,20,35,,529,2018-09-18
31,23,43,,370,2018-04-15
32,23,69,,57,2018-02-25
33,33,47,6,538,2018-03-05
34,31,69,3,,2018-03-31
35,25,72,5,434,2018-08-05
36,33,59,,507,2018-04-02
37,29,48,,4,2018-02-19
38,32,61,,145,2018-07-12
39,25,36,5,565,2018-10-08
40,22,54,2,524,2018-05-18
41,22,66,4,483,2018-06-30
42,35,69,3,194,2018-02-07
43,30,53,,448,2018-08-17
44,39,50,,214,2018-05-07
45,20,48,,407,2018-03-06
46,35,56,,550,2018-09-20
47,23,71,3,,2018-10-03
48,22,53,3,26,2018-09-24
49,20,68,,509,2018-02-19
50,30,44,6,267,2018-04-05
51,33,49,1,294,2018-10-10
52,39,61,5,496,2018-06-29
53,40,45,,389,2018-07-14
54,36,68,,,2018-04-13
55,28,66,,6,2018-02-03
56,32,70,4,539,2018-03-04
57,35,36,,212,2018-07-25
58,28,43,,166,2018-07-28
59,26,45,1,330,2018-10-30
60,40,67,,191,2018-10-24
61,24,67,,,2018-12-07
62,25,73,4,536,2018-07-05
63,22,41,,74,2018-12-03
64,34,64,,,2018-09-28
65,24,51,,444,2018-04-11
66,22,72,,120,2018-04-27
67,22,41,3,508,2018-05-16
68,38,74,,275,2018-10-31
69,33,38,4,210,2018-02-03
70,21,67,,,2018-01-25
71,30,71,,337,2018-03-11
72,33,75,,105,2018-01-07
