sr,temp,humidity,cases,status,date
2,40,38,0,very low,2001-01-26
3,34,69,151,very low,2000-11-18
4,26,46,519,high,2001-03-31
5,26,36,571,high,2000-12-19
6,24,52,152,low,2000-07-28
7,30,46,462,medium,2000-09-17
8,31,66,420,medium,2001-01-10
9,33,55,479,medium,2001-11-13
10,38,70,0,very low,2001-11-29
11,27,47,183,low,2001-02-19
12,30,69,0,low,2001-03-29
13,32,73,135,very low,2000-07-12
14,34,40,0,very low,2000-01-21
15,21,49,579,very high,2001-07-20
16,26,74,0,low,2000-12-07
17,24,54,476,high,2001-04-19
18,30,73,180,low,2000-02-26
19,38,37,508,high,2000-09-03
20,34,57,148,very low,2001-04-19
21,38,55,113,very low,2000-04-28
22,23,50,77,low,2000-03-25
23,38,73,89,very low,2001-02-13
24,36,40,142,very low,2000-04-19
25,38,57,513,high,2000-12-10
26,29,35,177,low,2001-11-15
27,38,41,177,very low,2000-06-12
28,23,68,80,low,2001-08-10
29,24,74,73,low,2000-08-27
30,30,67,131,low,2000-03-15
31,29,56,92,low,2001-01-01
32,20,43,6,low,2001-02-11
33,33,66,68,very low,2000-08-10
34,38,49,22,very low,2001-04-17
35,34,47,143,very low,2001-06-17
36,36,57,302,low,2000-12-09
37,36,58,123,very low,2001-05-05
38,36,56,131,very low,2001-06-08
39,34,41,503,high,2001-09-04
40,28,61,0,low,2001-05-13
41,30,68,543,high,2001-05-17
42,31,74,333,very high,2000-08-21
43,28,45,521,high,2001-09-11
44,36,69,480,medium,2001-01-17
45,20,72,406,high,2001-08-08
46,21,45,77,low,2001-11-30
47,36,42,210,low,2001-02-13
48,34,66,547,high,2001-05-07
49,29,45,333,very high,2001-05-29
50,22,70,412,high,2001-05-04
51,23,61,477,high,2001-09-11
52,40,69,546,high,2000-07-16
53,37,52,545,high,2000-12-08
54,34,74,85,very low,2001-06-13
55,37,64,511,high,2001-01-06
56,33,73,103,very low,2001-08-19
57,32,40,217,low,2000-08-15
58,22,62,0,low,2001-08-16
59,38,55,337,low,2000-06-28
60,30,45,0,low,2000-07-01
61,25,72,57,low,2001-01-15
62,25,73,0,low,2000-12-31
63,36,52,460,medium,2000-01-10
64,26,72,506,high,2001-08-13
65,29,54,336,very high,2000-02-15
66,29,70,471,medium,2000-10-31
67,25,39,528,high,2000-11-22
68,27,70,137,low,2000-03-04
69,30,42,396,very high,2001-05-17
70,23,54,559,very high,2000-09-12
71,29,39,378,very high,2000-12-20
72,40,49,93,very low,2000-10-05
73,39,49,0,very low,2001-11-09
74,34,39,6,very low,2001-05-09
75,38,73,454,medium,2000-11-13
76,24,74,131,low,2000-12-04
77,21,58,385,low,2000-04-28
78,40,54,348,low,2000-10-30
79,37,44,539,high,2001-10-31
80,34,59,74,very low,2001-03-04
81,25,59,0,low,2000-05-30
82,30,74,345,very high,2001-07-12
83,20,65,139,low,2000-01-16
84,35,45,94,very low,2000-02-10
85,21,55,184,low,2000-05-07
86,30,75,436,medium,2001-07-26
87,30,44,0,low,2001-10-05
88,23,62,494,high,2001-08-03
89,28,74,551,high,2001-04-12
90,39,73,296,low,2000-06-01
91,31,59,183,low,2000-10-31
92,30,57,351,very high,2001-08-24
93,35,54,218,low,2000-03-19
94,38,41,566,high,2001-07-12
95,22,48,66,low,2000-10-09
96,38,39,351,low,2000-02-24
97,24,40,225,low,2001-04-10
98,40,53,13,very low,2001-09-27
99,26,72,0,low,2000-01-08
100,20,59,265,low,2001-08-09
101,34,66,342,low,2000-09-18
102,33,73,457,medium,2001-10-27
103,38,73,600,high,2000-02-15
104,29,44,586,high,2000-07-23
105,22,72,56,low,2001-03-04
106,34,35,122,very low,2000-09-24
107,23,35,0,low,2001-01-20
108,36,57,72,very low,2001-07-19
109,38,73,582,high,2000-02-21
110,38,69,173,very low,2000-07-15
111,22,44,277,low,2000-05-31
112,25,39,383,low,2001-05-11
113,35,48,249,low,2000-03-27
114,39,48,0,very low,2000-08-30
115,21,41,183,low,2000-07-02
116,25,41,488,high,2000-09-01
117,22,54,274,low,2001-11-15
118,30,47,124,low,2001-02-17
119,32,69,41,very low,2001-04-08
120,28,45,231,low,2000-08-23
121,20,56,586,very high,2001-01-05
122,20,43,113,low,2000-05-04
123,36,48,509,high,2001-11-10
124,21,54,410,high,2000-03-08
125,21,50,599,very high,2001-01-17
126,39,38,468,medium,2001-01-28
127,33,40,424,medium,2000-07-26
128,32,62,482,medium,2000-02-07
129,38,55,174,very low,2000-06-10
130,35,58,296,low,2000-05-11
131,30,39,379,very high,2000-06-19
132,31,48,95,low,2000-09-28
133,28,54,18,low,2000-12-11
134,26,40,275,low,2001-01-09
135,24,51,424,high,2000-04-13
136,30,60,182,low,2000-01-10
137,40,75,186,very low,2001-06-05
138,39,43,0,very low,2000-05-05
139,29,63,403,medium,2001-08-04
140,25,35,299,low,2000-12-27
141,28,64,491,high,2001-05-30
142,30,75,0,low,2001-02-03
143,26,58,424,high,2000-08-05
144,20,56,85,low,2000-05-27
145,20,73,18,low,2000-04-12
146,22,50,407,high,2000-07-25
147,20,40,31,low,2001-08-30
148,23,72,194,low,2000-08-28
149,24,70,320,low,2001-09-08
150,35,35,573,high,2000-04-01
151,20,66,394,low,2000-06-11
152,35,68,537,high,2001-09-07
153,30,40,487,medium,2000-11-23
154,35,61,195,very low,2000-12-02
155,33,68,442,medium,2001-02-16
156,35,40,440,medium,2001-11-25
157,27,41,184,low,2000-01-07
158,24,47,0,low,2000-10-14
159,39,62,0,very low,2000-08-25
160,24,68,437,high,2001-08-20
161,33,38,143,very low,2000-03-05
162,30,72,379,very high,2001-06-29
163,20,52,130,low,2000-11-10
164,24,55,71,low,2000-05-01
165,31,47,112,low,2000-01-21
166,21,54,524,very high,2001-01-22
167,32,36,270,low,2000-04-02
168,29,71,412,medium,2000-09-02
169,33,66,111,very low,2000-01-04
170,29,64,94,low,2001-10-08
171,37,65,0,very low,2001-05-26
172,24,46,38,low,2001-07-12
173,20,37,507,very high,2001-02-23
174,20,41,73,low,2001-06-30
175,40,68,274,low,2001-07-07
176,27,54,273,low,2001-07-15
177,34,36,61,very low,2000-12-21
178,25,62,109,low,2000-10-21
179,32,63,61,very low,2001-11-04
180,31,75,60,low,2000-04-03
181,31,75,570,high,2001-01-07
182,29,74,365,very high,2000-11-16
183,37,62,560,high,2001-01-19
184,38,57,0,very low,2000-04-09
185,21,71,416,high,2001-05-20
186,39,58,51,very low,2001-02-02
187,26,72,370,low,2000-07-23
188,40,38,287,low,2000-12-15
189,27,63,454,high,2000-06-16
190,26,66,494,high,2000-08-21
191,29,49,25,low,2001-06-20
192,35,50,130,very low,2000-06-20
193,39,75,144,very low,2000-07-11
194,36,43,424,medium,2001-03-31
195,21,68,3,low,2000-10-15
196,32,38,544,high,2000-09-05
197,24,51,0,low,2001-11-07
198,37,75,212,low,2000-04-17
199,20,63,0,low,2001-03-18
200,28,40,170,low,2001-08-30
201,28,50,107,low,2000-02-03
202,22,42,22,low,2001-02-22
203,39,71,118,very low,2000-01-08
204,27,69,531,high,2001-02-23
205,33,39,514,high,2000-10-31
206,40,50,464,medium,2001-03-08
207,37,56,0,very low,2000-04-15
208,28,70,0,low,2001-03-01
209,28,40,5,low,2001-05-07
210,40,74,0,very low,2000-09-25
211,33,73,368,low,2000-07-24
212,40,44,183,very low,2000-04-17
213,38,74,468,medium,2000-08-13
214,20,38,0,low,2000-05-10
215,32,41,344,low,2000-12-19
216,39,63,472,medium,2001-08-08
217,30,52,373,very high,2001-12-03
218,28,40,515,high,2000-06-12
219,30,52,355,very high,2000-03-20
220,32,69,7,very low,2000-01-11
221,36,62,390,low,2000-01-10
222,31,59,565,high,2001-11-27
223,31,69,0,low,2000-07-31
224,34,62,122,very low,2001-11-26
225,22,60,157,low,2000-09-09
226,40,58,523,high,2001-01-11
227,37,52,158,very low,2000-12-23
228,35,54,363,low,2000-10-26
229,30,48,114,low,2001-10-28
230,39,75,141,very low,2001-07-22
231,27,68,509,high,2001-01-05
232,21,38,530,very high,2001-04-04
233,21,55,92,low,2001-06-03
234,36,64,569,high,2001-07-03
235,33,73,163,very low,2000-05-20
236,37,66,529,high,2000-05-13
237,38,68,122,very low,2001-06-19
238,26,52,128,low,2001-10-22
239,25,65,0,low,2000-01-25
240,31,48,0,low,2001-06-06
241,28,48,338,low,2000-04-24
